Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,CHN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,5.708571886,5.121490977,4.731818538,5.90692936,5.649474503,4.99621222,3.492810655,2.823436287,2.258723573,2.016200421,2.103886805,1.692047147,1.558517204,1.382698564,1.094578768,1.212713583,1.085311721,0.863739086,0.780540991,0.643643193,0.539893236,0.522731473,0.47626229,0.458951894,0.434411564,0.448398182,0.456645176,0.533552859,0.461590928,0.440282633,0.44602353,0.395407845,
China,CHN,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,7.190964399,8.743517899,9.428373444,10.25153246,12.34004595,12.61492904,15.52047929,18.40145453,21.66725703,22.42809652,25.6864244,29.44489072,34.0846619,37.95357331,48.55720035,56.85936289,56.64713312,67.91726097,70.88444114,77.44729803,100,109.7426654,138.7195263,182.8659796,226.9349694,283.7695446,346.324964,415.0393667,450.4948823,403.371145,516.7208615,562.1406057,597.1029351,643.17698,686.7928502,680.6117145,
China,CHN,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,117.4418605,120.2380952,117.2839506,100,96.59090909,92.55319149,85.10638298,94.50549451,90.72164948,102.173913,102.1052632,101.0309278,103.0927835,101.0416667,102.0408163,101.9417476,105.9405941,110.2040816,110.6382979,104.1237113,100,97.3973974,92.07097723,92.88979027,90.72762863,88.40348634,89.43342987,88.50709491,83.77533962,91.05593112,82.01434921,79.01382424,79.72000539,81.76201373,83.9603719,93.74384146,
China,CHN,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,3.538873995,2.880434783,5.69476082,13.88766033,15.20987654,16.5738758,19.03187011,12.00671704,11.42718211,12.97942596,27.28358857,24.18922425,19.23832457,14.96930538,20.00089409,28.99946495,34.09385533,34.50531999,36.33018304,35.46224058,33.24671908,27.56684417,27.28058603,26.10633785,24.24127177,23.22151765,23.25555916,30.11014264,39.25985771,29.41294415,36.38638284,39.03129118,52.05393425,62.65943323,
China,CHN,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,66.86327078,73.5326087,50.15186029,67.40380363,75.0617284,70.32119914,68.4305472,77.02211027,78.89618283,63.70332741,46.97512762,47.38389691,48.29225017,38.66961969,46.09951272,35.47351525,25.04907589,25.08813721,28.80137961,28.87410127,29.39025358,33.09492735,33.92382131,34.13843465,34.25536644,33.73822824,32.3705749,32.08912134,45.25233476,32.59783745,30.63637711,28.63339275,21.33023993,16.21478325,
China,CHN,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,,1865000000,1840000000,2634000000,2261000000,2025000000,2335000000,3326000000,3573000000,4113000000,3937000000,9207000000,11563000000,15781000000,24634610000,22369000000,28035000000,26999000000,31485000000,36095882000,39222000000,46314344470,55092530376,72349629243,83347845619,1.00E+11,1.28E+11,1.55E+11,1.45E+11,1.40E+11,2.47E+11,2.80E+11,3.29E+11,4.51E+11,4.66E+11,
China,CHN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,24.82573727,17.60869565,39.55960516,15.65678903,5.679012346,7.023554604,6.133493686,5.737475511,7.391198638,17.88163576,22.76528728,25.29620341,20.55636525,29.01426083,32.85797309,30.64027109,33.74199044,33.7748134,27.75166707,28.55540258,30.1609834,30.63153931,30.14085554,30.92592327,31.81295316,34.2922043,35.81409476,29.5662252,3.224904168,29.68843707,24.93975561,24.50821591,20.53908564,18.55862098,
China,CHN,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,8.859098865,9.780358428,8.567531787,9.502696651,12.17713489,18.77082463,19.0604814,19.19909016,24.55329773,26.27346797,23.69898798,28.33971585,35.80059886,46.18470506,51.36254187,58.69551692,61.74585822,63.18837102,62.35112699,73.67569681,100,108.2342328,131.1726749,183.4293231,249.4085075,293.2811611,351.7229273,424.8951223,503.3094248,447.0292058,620.4880368,774.7991325,808.0938033,866.5697881,870.67735,747.4540493,
China,CHN,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,6.321924974,,,,,,,,,,,,,,,,,4.685939407,4.176359454,3.953857985,3.334180902,6.077073532,4.064975782,3.8133732,2.840382107,3.001012122,4.213989408,4.399110422,4.164293188,4.510156044,4.696917316,4.249536391,3.963057282,4.412616609,5.109466004,5.43500285,5.879763909,6.187165534,6.760951933,7.782232656,7.584469115,8.316729164,9.078619105,8.924933538,9.045941065,9.319321069,9.744036972,8.822062094,9.058226479,9.605929877,9.845089074,9.597174659,9.059659144,9.537464371,,
China,CHN,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,,669100000,,,,,,,,,,,,,,,,,10813200000,15561400000,19505000000,21630500000,18917000000,21306400000,25953400000,42480200000,43275400000,43222700000,55352100000,59141393000,53809654118,63876832359,81871519155,1.04E+11,1.16E+11,1.32E+11,1.39E+11,1.42E+11,1.40E+11,1.66E+11,2.25E+11,2.44E+11,2.95E+11,4.13E+11,5.61E+11,6.60E+11,7.92E+11,9.56E+11,1.13E+12,1.00E+12,1.39E+12,1.74E+12,1.82E+12,1.95E+12,1.96E+12,,
China,CHN,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,,1.6738903,,,,,,,,,,,,,,,,,11.97332889,8.984410143,6.851576519,4.974919674,6.279536924,6.477865806,6.852281397,7.227131699,8.126325811,6.923908039,8.784129238,10.19687345,6.374841868,4.658406262,2.892312466,2.165389663,2.485192937,2.62260159,2.502358605,2.048541832,2.15594743,2.50280039,3.387980153,3.604488507,5.12168771,6.085280633,6.928665201,8.36511435,9.274185791,8.968763889,8.171076406,8.611505244,9.017674072,7.822490242,8.977821738,9.291311706,8.731217611,,
